name,guard_name
role_create,web
role_edit,web
role_list,web
role_delete,web
user_create,web
user_edit,web
user_list,web
user_delete,web
site_settings,web
faq_create,web
faq_edit,web
faq_list,web
faq_delete,web
service_list,web
service_create,web
service_edit,web
service_delete,web
contact_create,web
national_connection_list,web
national_connection_create,web
national_connection_edit,web
national_connection_delete,web
event_list,web
event_create,web
event_edit,web
event_delete,web
wwcs_list,web
wwcs_create,web
wwcs_edit,web
wwcs_delete,web
national_award_list,web
national_award_create,web
national_award_edit,web
national_award_delete,web
blog_list,web
blog_create,web
blog_edit,web
blog_delete,web
banner_list,web
banner_create,web
banner_edit,web
banner_delete,web
member_list,web
member_create,web
member_edit,web
member_delete,web
member_type_create,web
member_type_edit,web
member_type_delete,web
icsb_profile_create,web
blog_cat_list,web
blog_cat_create,web
blog_cat_edit,web
blog_cat_delete,web
stc_member_list,web
stc_member_create,web
stc_member_edit,web
stc_member_delete,web
